1.13	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.04;0.18;0.20;0.18;1.5;0.04;0.18	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.20;0.18;0.04;0.18;24.0;0.24;0.12	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;0.0;0.20;0.18
2.55	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.04;0.18;0.20;0.18;1.5;0.04;0.18	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.20;0.18;0.04;0.18;24.0;0.24;0.12	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;0.0;0.20;0.18
3.19	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.04;0.18;0.20;0.18;1.5;0.04;0.18	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.20;0.18;0.04;0.18;24.0;0.24;0.12	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;0.0;0.20;0.18
4.10	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.04;0.18;0.20;0.18;1.5;0.04;0.18	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.20;0.18;0.04;0.18;24.0;0.24;0.12	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;1.5;0.20;0.18	0.20;0.18;0.04;0.18;0.0;0.20;0.18
5.01	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.04;0.18;0.20;0.18;1.5;0.04;0.18	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.22;0.14;0.02;0.14;12.0;0.22;0.14	0.20;0.18;0.04;0.18;19.0;0.18;0.18	0.20;0.18;0.04;0.18;25.0;0.18;0.18	0.20;0.18;0.04;0.18;24.5;0.18;0.18
6.15	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.04;0.18;0.20;0.18;1.5;0.04;0.18	0.04;0.18;0.20;0.18;0.5;0.04;0.18	0.19;0.20;0.05;0.20;11.0;0.19;0.20	0.20;0.18;0.04;0.18;33.0;0.15;0.18	0.20;0.18;0.04;0.18;33.5;0.14;0.18	0.20;0.18;0.04;0.18;25.5;0.14;0.18
7.06	0.04;0.18;0.20;0.18;23.0;0.06;0.18	0.04;0.18;0.20;0.18;22.0;0.06;0.18	0.04;0.18;0.20;0.18;22.0;0.06;0.18	0.04;0.18;0.20;0.18;21.0;0.06;0.18	0.17;0.22;0.07;0.22;11.0;0.16;0.22	0.20;0.18;0.04;0.18;17.5;0.12;0.18	0.20;0.18;0.04;0.18;31.5;0.12;0.18	0.20;0.18;0.04;0.18;31.0;0.12;0.18
8.13	0.04;0.18;0.20;0.18;29.0;0.09;0.18	0.04;0.18;0.20;0.18;30.0;0.09;0.18	0.04;0.18;0.20;0.18;35.0;0.09;0.18	0.04;0.18;0.20;0.18;34.5;0.09;0.18	0.17;0.22;0.07;0.22;29.0;0.13;0.22	0.20;0.18;0.04;0.18;26.0;0.09;0.18	0.20;0.18;0.04;0.18;34.5;0.08;0.18	0.20;0.18;0.04;0.18;27.0;0.08;0.18
9.34	0.04;0.18;0.20;0.18;23.5;0.13;0.18	0.04;0.18;0.20;0.18;24.0;0.13;0.18	0.04;0.18;0.20;0.18;33.5;0.13;0.18	0.04;0.18;0.20;0.18;16.5;0.13;0.18	0.17;0.22;0.07;0.22;13.0;0.09;0.22	0.20;0.18;0.04;0.18;9.5;0.05;0.18	0.20;0.18;0.04;0.18;31.0;0.05;0.18	0.20;0.18;0.04;0.18;16.0;0.05;0.18
10.64	0.04;0.18;0.20;0.18;27.5;0.17;0.18	0.04;0.18;0.20;0.18;29.0;0.17;0.18	0.04;0.18;0.20;0.18;35.5;0.17;0.18	0.04;0.18;0.20;0.18;30.5;0.17;0.18	0.17;0.22;0.07;0.22;14.0;0.05;0.20	0.20;0.18;0.04;0.18;14.0;0.01;0.14	0.20;0.18;0.04;0.18;20.5;0.01;0.13	0.20;0.18;0.04;0.18;20.0;0.01;0.13
